repo	milestone	round	issue_slug	title	size	depends_on	files_touched	notes	filed_url
paideia-os	g7-compositor-protocol	G7	G7-M2-003	Surface geometry: scale factor + viewport + transform as first-class fields	M	G7-M2-001	src/user/compositor/surface_geometry.pdx	P3 mitigation (no supersample scaling)	https://github.com/paideia-os/paideia-os/issues/2250
paideia-os	g7-compositor-protocol	G7	G7-M2-004	Surface buffer-attach with (timeline_id, value) wait+signal handoff	M	G7-M2-002	src/user/compositor/surface_buffer_bind.pdx	P1 mitigation (no implicit sync)	https://github.com/paideia-os/paideia-os/issues/2252
paideia-os	g7-compositor-protocol	G7	G7-M3-001	KIND_WINDOW derived cap over KIND_SURFACE + parent/z-order fields	M	G7-M2-001	src/user/compositor/window_kind.pdx	-	https://github.com/paideia-os/paideia-os/issues/2254
paideia-os	g7-compositor-protocol	G7	G7-M3-002	KIND_LAYER_TREE with sealed subtree traversal + damage propagation	M	G7-M3-001	src/user/compositor/layer_tree.pdx	-	https://github.com/paideia-os/paideia-os/issues/2256
paideia-os	g7-compositor-protocol	G7	G7-M3-003	Subsurface synchronisation modes (sync/desync) attached to layer edges	M	G7-M3-002	src/user/compositor/subsurface_sync.pdx	-	https://github.com/paideia-os/paideia-os/issues/2258
paideia-os	g7-compositor-protocol	G7	G7-M4-001	xdg-shell-equivalent: window states (normal/maximized/fullscreen/minimized)	M	G7-M3-001	src/user/compositor/xdg_shell_states.pdx	-	https://github.com/paideia-os/paideia-os/issues/2260
paideia-os	g7-compositor-protocol	G7	G7-M4-002	xdg-shell-equivalent: window geometry + interactive resize edges	M	G7-M3-001	src/user/compositor/xdg_shell_geometry.pdx	-	https://github.com/paideia-os/paideia-os/issues/2262
paideia-os	g7-compositor-protocol	G7	G7-M4-003	xdg-shell-equivalent: popup positioning + grab semantics	M	G7-M3-001	src/user/compositor/xdg_shell_popup.pdx	-	https://github.com/paideia-os/paideia-os/issues/2265
paideia-os	g7-compositor-protocol	G7	G7-M5-001	Clipboard as sealed KIND_CLIP_OFFER cap flow (no ambient broadcast)	M	G7-M3-001	src/user/compositor/clipboard.pdx	sealed-cap discipline	https://github.com/paideia-os/paideia-os/issues/2266
paideia-os	g7-compositor-protocol	G7	G7-M5-002	DnD offer with MIME negotiation + drop-target capability handoff	M	G7-M5-001	src/user/compositor/dnd_offer.pdx	-	https://github.com/paideia-os/paideia-os/issues/2267
paideia-os	g7-compositor-protocol	G7	G7-M5-003	Selection ownership + revocation on window destroy	M	G7-M5-001	src/user/compositor/selection_owner.pdx	-	https://github.com/paideia-os/paideia-os/issues/2268
paideia-os	g7-compositor-protocol	G7	G7-M6-001	Recovery plane reservation on primary pipe	M	G7-M3-001	src/user/compositor/recovery_plane_reserve.pdx	P8 enforcement	https://github.com/paideia-os/paideia-os/issues/2269
paideia-os	g7-compositor-protocol	G7	G7-M6-002	Recovery plane takeover flow on compositor-death detection	M	G7-M6-001	src/user/compositor/recovery_plane_takeover.pdx	P8 enforcement	https://github.com/paideia-os/paideia-os/issues/2270
paideia-os	g7-compositor-protocol	G7	G7-M7-001	Written no-extension policy: single-protocol discipline	S	G7-M1-004	design/compositor/no-extension-policy.md	P11 mitigation	https://github.com/paideia-os/paideia-os/issues/2271
paideia-os	g7-compositor-protocol	G7	G7-M7-002	PWP minor-version bump cadence + capability advertisement rules	S	G7-M7-001	design/compositor/pwp-version-cadence.md	P11 mitigation	https://github.com/paideia-os/paideia-os/issues/2272
paideia-os	g7-compositor-protocol	G7	G7-M8-001	T14 hw-smoke-g7.md: first-window bring-up on Iris Xe	M	G7-M6-002	tools/hw-smoke-g7.md	D7 hw-smoke discipline	https://github.com/paideia-os/paideia-os/issues/2273
paideia-os	g8-input-routing	G8	G8-M1-001	Input server process: main loop + compositor-independent lifecycle	M	G7-M8-001	src/user/input_server/main.pdx	prereq R32 HID stream (CLOSED); P2 mitigation	https://github.com/paideia-os/paideia-os/issues/2274
paideia-os	g8-input-routing	G8	G8-M1-002	Input server recovery-console cap: emergency framebuffer takeover on compositor death	M	G8-M1-001	src/user/input_server/recovery_console.pdx	P2 mitigation	https://github.com/paideia-os/paideia-os/issues/2275
paideia-os	g8-input-routing	G8	G8-M1-003	Device enumeration + hot-plug ingest from KIND_HID_STREAM	M	G8-M1-001	src/user/input_server/enumerate.pdx	-	https://github.com/paideia-os/paideia-os/issues/2276
paideia-os	g8-input-routing	G8	G8-M2-001	KIND_INPUT_ROUTE (linear) derived cap declaration + rights bits	M	G8-M1-001	src/user/input_server/route_kind.pdx	linear-cap discipline	https://github.com/paideia-os/paideia-os/issues/2277
paideia-os	g8-input-routing	G8	G8-M2-002	Focus-follows-surface routing with per-seat window stack	M	G8-M2-001	src/user/input_server/focus_router.pdx	-	https://github.com/paideia-os/paideia-os/issues/2278
paideia-os	g8-input-routing	G8	G8-M2-003	Route revocation on window destroy + implicit-grab handling	M	G8-M2-001	src/user/input_server/route_revoke.pdx	-	https://github.com/paideia-os/paideia-os/issues/2279
paideia-os	g8-input-routing	G8	G8-M3-001	Pointer acceleration curve interpolator (per-device profile store)	M	G8-M1-001	src/user/input_server/accel_curve.pdx	-	https://github.com/paideia-os/paideia-os/issues/2280
paideia-os	g8-input-routing	G8	G8-M3-002	Scroll-wheel + high-resolution scroll axis mapping	M	G8-M1-001	src/user/input_server/scroll_axis.pdx	-	https://github.com/paideia-os/paideia-os/issues/2281
paideia-os	g8-input-routing	G8	G8-M3-003	Trackpad gesture prefilter (natural-scroll, click-tap, palm-reject)	M	G8-M1-001	src/user/input_server/trackpad_gesture.pdx	-	https://github.com/paideia-os/paideia-os/issues/2282
paideia-os	g8-input-routing	G8	G8-M4-001	Multi-touch contact tracking + gesture recogniser tree	M	G8-M1-001	src/user/input_server/touch_contact.pdx	-	https://github.com/paideia-os/paideia-os/issues/2283
paideia-os	g8-input-routing	G8	G8-M4-002	Stylus pressure/tilt/button + tool-in-range routing (Wacom-class)	M	G8-M1-001	src/user/input_server/stylus.pdx	-	https://github.com/paideia-os/paideia-os/issues/2284
paideia-os	g8-input-routing	G8	G8-M5-001	KIND_SEAT declaration + seat/device binding table	M	G8-M1-001	src/user/input_server/seat_kind.pdx	-	https://github.com/paideia-os/paideia-os/issues/2285
paideia-os	g8-input-routing	G8	G8-M5-002	Seat lock/unlock + inter-seat isolation invariants	M	G8-M5-001	src/user/input_server/seat_lock.pdx	-	https://github.com/paideia-os/paideia-os/issues/2286
paideia-os	g8-input-routing	G8	G8-M6-001	T14 hw-smoke-g8.md: Elan touchpad + BT4 dock input smoke	M	G8-M1-001	tools/hw-smoke-g8.md	D7 hw-smoke discipline	https://github.com/paideia-os/paideia-os/issues/2287
paideia-os	g9-windowing-feedback	G9	G9-M1-001	KIND_WORKSPACE derived cap + workspace enumeration API	M	G7-M8-001	src/user/compositor/workspace_kind.pdx	-	https://github.com/paideia-os/paideia-os/issues/2288
paideia-os	g9-windowing-feedback	G9	G9-M1-002	Workspace switch atomic transition (present-timeline synchronised)	M	G9-M1-001	src/user/compositor/workspace_switch.pdx	-	https://github.com/paideia-os/paideia-os/issues/2289
paideia-os	g9-windowing-feedback	G9	G9-M1-003	Per-workspace window-set persistence + save/restore session hook	M	G9-M1-001	src/user/compositor/workspace_session.pdx	-	https://github.com/paideia-os/paideia-os/issues/2290
paideia-os	g9-windowing-feedback	G9	G9-M2-001	Tiling engine: binary space partition primitives + split-axis policy	M	G9-M1-001	src/user/compositor/tiling_bsp.pdx	-	https://github.com/paideia-os/paideia-os/issues/2291
paideia-os	g9-windowing-feedback	G9	G9-M2-002	Tiling engine: floating overrides + stacked mode	M	G9-M2-001	src/user/compositor/tiling_floating.pdx	-	https://github.com/paideia-os/paideia-os/issues/2292
paideia-os	g9-windowing-feedback	G9	G9-M2-003	Tiling gap + margin geometry rules	M	G9-M2-001	src/user/compositor/tiling_gaps.pdx	-	https://github.com/paideia-os/paideia-os/issues/2293
paideia-os	g9-windowing-feedback	G9	G9-M3-001	KIND_DAMAGE_REGION cap over KIND_MEMORY with rect-list schema	M	G9-M1-001	src/user/compositor/damage_kind.pdx	-	https://github.com/paideia-os/paideia-os/issues/2294
paideia-os	g9-windowing-feedback	G9	G9-M3-002	Buffer-age driven partial repaint scheduler	M	G9-M3-001	src/user/compositor/buffer_age.pdx	-	https://github.com/paideia-os/paideia-os/issues/2295
paideia-os	g9-windowing-feedback	G9	G9-M3-003	Damage aggregation across subsurface tree	M	G9-M3-001	src/user/compositor/damage_aggregate.pdx	-	https://github.com/paideia-os/paideia-os/issues/2296
paideia-os	g9-windowing-feedback	G9	G9-M4-001	KIND_PRESENT_FEEDBACK stream: (target_time, actual_time, refresh_period)	M	G9-M1-001	src/user/compositor/present_feedback_kind.pdx	P6 mitigation	https://github.com/paideia-os/paideia-os/issues/2297
paideia-os	g9-windowing-feedback	G9	G9-M4-002	Feedback fan-out per-client + budget-one-refresh discipline	M	G9-M4-001	src/user/compositor/present_feedback_route.pdx	P6 mitigation	https://github.com/paideia-os/paideia-os/issues/2298
paideia-os	g9-windowing-feedback	G9	G9-M4-003	Missed-present + late-present classifier + client back-pressure signal	M	G9-M4-001	src/user/compositor/present_feedback_classifier.pdx	P6 mitigation	https://github.com/paideia-os/paideia-os/issues/2299
paideia-os	g9-windowing-feedback	G9	G9-M5-001	Adaptive-rate sample client: 60 to 120 Hz cadence switch on feedback	M	G9-M4-001	src/samples/adaptive_rate/main.pdx	demonstrates P6 in situ	https://github.com/paideia-os/paideia-os/issues/2300
paideia-os	g9-windowing-feedback	G9	G9-M5-002	Adaptive-rate sample: energy-vs-latency policy knob	M	G9-M5-001	src/samples/adaptive_rate/policy.pdx	-	https://github.com/paideia-os/paideia-os/issues/2301
paideia-os	g10-accessibility	G10	G10-M1-001	KIND_A11Y_TREE derived cap over KIND_MEMORY (AccessKit-shape)	M	G7-M8-001	src/user/a11y/tree_kind.pdx	P4 mitigation substrate	https://github.com/paideia-os/paideia-os/issues/2302
paideia-os	g10-accessibility	G10	G10-M1-002	KIND_A11Y_NODE catalogue: role/state/value node schemas	M	G10-M1-001	src/user/a11y/node_kind.pdx	-	https://github.com/paideia-os/paideia-os/issues/2303
paideia-os	g10-accessibility	G10	G10-M1-003	A11y tree mutation log with linear commit boundary	M	G10-M1-001	src/user/a11y/tree_mutation.pdx	-	https://github.com/paideia-os/paideia-os/issues/2304
paideia-os	g10-accessibility	G10	G10-M2-001	Window-creation a11y-tree binding: mandatory at KIND_WINDOW mint	M	G10-M1-001	src/user/compositor/a11y_bind_at_mint.pdx	P4 mitigation	https://github.com/paideia-os/paideia-os/issues/2305
paideia-os	g10-accessibility	G10	G10-M2-002	PWP wire extension: a11y-tree subtree carried inline in surface commit	M	G10-M1-001	src/user/compositor/pwp_a11y_wire.pdx	P4 mitigation	https://github.com/paideia-os/paideia-os/issues/2306
paideia-os	g10-accessibility	G10	G10-M2-003	Elaboration failure when window created without a11y subtree	M	G10-M2-001	src/user/compositor/a11y_elaboration_gate.pdx	P4 mitigation enforcement	https://github.com/paideia-os/paideia-os/issues/2307
paideia-os	g10-accessibility	G10	G10-M3-001	Screen-reader client protocol: subscribe + walk + focus follow	M	G10-M1-001	src/user/a11y/screen_reader_protocol.pdx	-	https://github.com/paideia-os/paideia-os/issues/2308
paideia-os	g10-accessibility	G10	G10-M3-002	Screen-reader TTS output client + phoneme cache	M	G10-M3-001	src/user/a11y/screen_reader_tts.pdx	-	https://github.com/paideia-os/paideia-os/issues/2309
paideia-os	g10-accessibility	G10	G10-M3-003	Braille-display output client (BRLTTY-shape)	M	G10-M3-001	src/user/a11y/screen_reader_braille.pdx	-	https://github.com/paideia-os/paideia-os/issues/2310
paideia-os	g10-accessibility	G10	G10-M4-001	Keyboard-navigation as compositor concept: tab-order graph	M	G10-M1-001	src/user/compositor/keynav_taborder.pdx	-	https://github.com/paideia-os/paideia-os/issues/2311
paideia-os	g10-accessibility	G10	G10-M4-002	Focus-ring rendering + skip-link hotkeys	M	G10-M4-001	src/user/compositor/keynav_focus_ring.pdx	-	https://github.com/paideia-os/paideia-os/issues/2312
paideia-os	g10-accessibility	G10	G10-M5-001	T14 hw-smoke-g10.md: a11y-tree walk witness under Orca-shape client	M	G10-M3-001	tools/hw-smoke-g10.md	D7 hw-smoke discipline	https://github.com/paideia-os/paideia-os/issues/2313
paideia-os	g11-ime	G11	G11-M1-001	KIND_IME_SESSION (linear) derived cap + text-input surface contract	M	G7-M8-001	src/user/ime/session_kind.pdx	prereq G5 (CLOSED); P10 mitigation	https://github.com/paideia-os/paideia-os/issues/2314
paideia-os	g11-ime	G11	G11-M1-002	KIND_IME_PROVIDER discovery + provider-switch protocol	M	G11-M1-001	src/user/ime/provider_kind.pdx	P10 mitigation	https://github.com/paideia-os/paideia-os/issues/2315
paideia-os	g11-ime	G11	G11-M1-003	Compositor as exclusive IME router (single keyboard-event contract)	M	G11-M1-001	src/user/compositor/ime_router.pdx	P10 mitigation	https://github.com/paideia-os/paideia-os/issues/2316
paideia-os	g11-ime	G11	G11-M2-001	Latin autocomplete IME: n-gram predictor + candidate window	M	G11-M1-001	src/user/ime/latin_predictor.pdx	-	https://github.com/paideia-os/paideia-os/issues/2317
paideia-os	g11-ime	G11	G11-M2-002	Latin dead-key + compose-key sequences	M	G11-M1-001	src/user/ime/latin_compose.pdx	-	https://github.com/paideia-os/paideia-os/issues/2318
paideia-os	g11-ime	G11	G11-M3-001	CJK IME: Pinyin + Zhuyin phonetic engines	M	G11-M1-001	src/user/ime/cjk_phonetic.pdx	-	https://github.com/paideia-os/paideia-os/issues/2319
paideia-os	g11-ime	G11	G11-M3-002	CJK IME: Kana + Hangul syllabic engines	M	G11-M1-001	src/user/ime/cjk_syllabic.pdx	-	https://github.com/paideia-os/paideia-os/issues/2320
paideia-os	g11-ime	G11	G11-M4-001	Indic complex shaping: Devanagari + Tamil cluster rules	M	G11-M1-001	src/user/ime/indic_cluster.pdx	-	https://github.com/paideia-os/paideia-os/issues/2321
paideia-os	g11-ime	G11	G11-M4-002	Indic IME: InScript keymap + phonetic transliteration	M	G11-M1-001	src/user/ime/indic_keymap.pdx	-	https://github.com/paideia-os/paideia-os/issues/2322
paideia-os	g11-ime	G11	G11-M5-001	BiDi integration with G5 SDF text: paragraph-level UBA level runs	M	G11-M1-001	src/user/ime/bidi_uba.pdx	prereq G5 (CLOSED)	https://github.com/paideia-os/paideia-os/issues/2323
paideia-os	g11-ime	G11	G11-M5-002	BiDi caret navigation + selection anchor mirroring	M	G11-M5-001	src/user/ime/bidi_caret.pdx	-	https://github.com/paideia-os/paideia-os/issues/2324
paideia-os	g11-ime	G11	G11-M6-001	T14 hw-smoke-g11.md: polyglot input smoke (Latin + Pinyin + Devanagari + Arabic)	M	G11-M1-001	tools/hw-smoke-g11.md	D7 hw-smoke discipline	https://github.com/paideia-os/paideia-os/issues/2325
paideia-os	g12-toolkit	G12	G12-M1-001	KIND_UI_CONTEXT + immediate-mode frame loop (egui-shape)	M	G7-M8-001	src/user/libpaideia_ui/immediate_context.pdx	prereq G7-G11	https://github.com/paideia-os/paideia-os/issues/2326
paideia-os	g12-toolkit	G12	G12-M1-002	Immediate-mode widgets: button/label/slider/checkbox	M	G12-M1-001	src/user/libpaideia_ui/immediate_widgets.pdx	-	https://github.com/paideia-os/paideia-os/issues/2327
paideia-os	g12-toolkit	G12	G12-M1-003	Immediate-mode layout: horizontal/vertical/grid containers	M	G12-M1-001	src/user/libpaideia_ui/immediate_layout.pdx	-	https://github.com/paideia-os/paideia-os/issues/2328
paideia-os	g12-toolkit	G12	G12-M2-001	Retained-mode view tree + reactive re-render (Xilem-shape)	M	G12-M1-001	src/user/libpaideia_ui/retained_view.pdx	-	https://github.com/paideia-os/paideia-os/issues/2329
paideia-os	g12-toolkit	G12	G12-M2-002	Retained-mode widget catalogue: button/list/tree/text-field	M	G12-M2-001	src/user/libpaideia_ui/retained_widgets.pdx	-	https://github.com/paideia-os/paideia-os/issues/2330
paideia-os	g12-toolkit	G12	G12-M2-003	Retained-mode state binding + one-way data flow	M	G12-M2-001	src/user/libpaideia_ui/retained_state.pdx	-	https://github.com/paideia-os/paideia-os/issues/2331
paideia-os	g12-toolkit	G12	G12-M3-001	Sample app: settings — display + a11y panel	M	G12-M1-002	src/samples/settings/display.pdx	-	https://github.com/paideia-os/paideia-os/issues/2332
paideia-os	g12-toolkit	G12	G12-M3-002	Sample app: settings — input + IME panel	M	G12-M1-002	src/samples/settings/input.pdx	-	https://github.com/paideia-os/paideia-os/issues/2333
paideia-os	g12-toolkit	G12	G12-M3-003	Sample app: settings — color + HDR panel	M	G12-M1-002	src/samples/settings/color.pdx	-	https://github.com/paideia-os/paideia-os/issues/2334
paideia-os	g12-toolkit	G12	G12-M4-001	Sample app: analog clock — Vello vector face + tick animation	M	G12-M1-002	src/samples/clock/analog.pdx	-	https://github.com/paideia-os/paideia-os/issues/2335
paideia-os	g12-toolkit	G12	G12-M4-002	Sample app: clock — timezone list + world-clock retained view	M	G12-M2-001	src/samples/clock/timezone.pdx	-	https://github.com/paideia-os/paideia-os/issues/2336
paideia-os	g12-toolkit	G12	G12-M5-001	Sample app: text editor — buffer + gap-list edit primitives	M	G12-M1-002	src/samples/text_editor/buffer.pdx	-	https://github.com/paideia-os/paideia-os/issues/2337
paideia-os	g12-toolkit	G12	G12-M5-002	Sample app: text editor — syntax highlighting + BiDi caret navigation	M	G12-M5-001	src/samples/text_editor/render.pdx	prereq G11-M5-001	https://github.com/paideia-os/paideia-os/issues/2338
paideia-os	g12-toolkit	G12	G12-M6-001	T14 hw-smoke-g12.md: first-app smoke (settings + clock + editor)	M	G12-M3-001	tools/hw-smoke-g12.md	D7 hw-smoke discipline	https://github.com/paideia-os/paideia-os/issues/2339
paideia-as	v0.25-session-functors	v0.25	v0.25-M1-001	v0.25 M1: session-typed functor signatures	M	-	crates/paideia-as-parser/src/functor.rs crates/paideia-as-types/src/session.rs	gates R29 driver framework	https://github.com/paideia-os/paideia-as/issues/1355
paideia-as	v0.25-session-functors	v0.25	v0.25-M1-002	v0.25 M2: effect-row inference at call sites	M	v0.25-M1-001	crates/paideia-as-types/src/effect_row.rs	row-polymorphic inference	https://github.com/paideia-os/paideia-as/issues/1356
paideia-as	v0.25-session-functors	v0.25	v0.25-M1-003	v0.25 M3: linear-cap consumption verification in unsafe blocks	M	v0.25-M1-001	crates/paideia-as-linear/src/unsafe_verify.rs	linear discipline through unsafe	https://github.com/paideia-os/paideia-as/issues/1357
paideia-as	v0.25-session-functors	v0.25	v0.25-M1-004	v0.25 M4: @derive(base, refinement) macro	M	v0.25-M1-001	crates/paideia-as-macro/src/derive_refinement.rs	capability derivation macro	https://github.com/paideia-os/paideia-as/issues/1358
paideia-as	v0.25-session-functors	v0.25	v0.25-M1-005	v0.25 integration + release notes + CHANGELOG bump	S	v0.25-M1-001,v0.25-M1-002,v0.25-M1-003,v0.25-M1-004	CHANGELOG.md	workspace-version bump v0.25.0	https://github.com/paideia-os/paideia-as/issues/1359
paideia-as	v0.26-aml-substrate	v0.26	v0.26-M1-001	v0.26 recursive-descent parser helpers	M	-	crates/paideia-as-stdlib/src/parsers.rs	AML parser toolbox	https://github.com/paideia-os/paideia-as/issues/1360
paideia-as	v0.26-aml-substrate	v0.26	v0.26-M1-002	v0.26 arbitrary-precision integer intrinsics (@mulu64, @divu64)	M	-	crates/paideia-as-intrinsic/src/wide_int.rs	AML integer semantics	https://github.com/paideia-os/paideia-as/issues/1361
paideia-as	v0.26-aml-substrate	v0.26	v0.26-M1-003	v0.26 string interning	M	-	crates/paideia-as-stdlib/src/intern.rs	AML NameString caching	https://github.com/paideia-os/paideia-as/issues/1362
paideia-as	v0.26-aml-substrate	v0.26	v0.26-M1-004	v0.26 stable Result<T,E> idiom	M	-	crates/paideia-as-stdlib/src/result.rs	canonical error-return shape	https://github.com/paideia-os/paideia-as/issues/1363
paideia-as	v0.26-aml-substrate	v0.26	v0.26-M1-005	v0.26 integration + release notes + CHANGELOG	S	v0.26-M1-001,v0.26-M1-002,v0.26-M1-003,v0.26-M1-004	CHANGELOG.md	workspace-version bump v0.26.0	https://github.com/paideia-os/paideia-as/issues/1364
paideia-as	v0.27-dma-timeline	v0.27	v0.27-M1-001	v0.27 @dma_buffer(size, alignment, coherency) intrinsic	M	-	crates/paideia-as-intrinsic/src/dma_buffer.rs	DMA buffer syntax	https://github.com/paideia-os/paideia-as/issues/1365
paideia-as	v0.27-dma-timeline	v0.27	v0.27-M1-002	v0.27 @timeline_wait / @timeline_signal syntax	M	-	crates/paideia-as-parser/src/timeline.rs	explicit-sync first class	https://github.com/paideia-os/paideia-as/issues/1366
paideia-as	v0.27-dma-timeline	v0.27	v0.27-M1-003	v0.27 128-bit atomic CAS intrinsic	M	-	crates/paideia-as-intrinsic/src/atomic128.rs	GPU submission needs	https://github.com/paideia-os/paideia-as/issues/1367
paideia-as	v0.27-dma-timeline	v0.27	v0.27-M1-004	v0.27 @include_bytes_signed(path, keyring) for firmware blobs	M	-	crates/paideia-as-intrinsic/src/include_signed.rs	D1.a dual-signature enforcement in compiler	https://github.com/paideia-os/paideia-as/issues/1368
paideia-as	v0.27-dma-timeline	v0.27	v0.27-M1-005	v0.27 integration + release notes + CHANGELOG	S	v0.27-M1-001,v0.27-M1-002,v0.27-M1-003,v0.27-M1-004	CHANGELOG.md	workspace-version bump v0.27.0	https://github.com/paideia-os/paideia-as/issues/1369
paideia-as	v0.28-gpu-submit	v0.28	v0.28-M1-001	v0.28 @gpu_context(engine) scope	M	-	crates/paideia-as-parser/src/gpu_context.rs	GPU submission block	https://github.com/paideia-os/paideia-as/issues/1370
paideia-as	v0.28-gpu-submit	v0.28	v0.28-M1-002	v0.28 vec<T,N> type parameterization	M	-	crates/paideia-as-types/src/vec_typaram.rs	SIMD/shader-vector shape	https://github.com/paideia-os/paideia-as/issues/1371
paideia-as	v0.28-gpu-submit	v0.28	v0.28-M1-003	v0.28 @endian(be|le) on struct fields	M	-	crates/paideia-as-parser/src/endian_attr.rs	MMIO register layouts	https://github.com/paideia-os/paideia-as/issues/1372
paideia-as	v0.28-gpu-submit	v0.28	v0.28-M1-004	v0.28 @packed_struct full support	M	-	crates/paideia-as-parser/src/packed_struct.rs	HW descriptor layouts	https://github.com/paideia-os/paideia-as/issues/1373
paideia-as	v0.28-gpu-submit	v0.28	v0.28-M1-005	v0.28 integration + release notes + CHANGELOG	S	v0.28-M1-001,v0.28-M1-002,v0.28-M1-003,v0.28-M1-004	CHANGELOG.md	workspace-version bump v0.28.0	https://github.com/paideia-os/paideia-as/issues/1374
paideia-as	v0.29-compositor-substrate	v0.29	v0.29-M1-001	v0.29 row-polymorphic effects	M	-	crates/paideia-as-types/src/row_poly.rs	compositor effect variability	https://github.com/paideia-os/paideia-as/issues/1375
paideia-as	v0.29-compositor-substrate	v0.29	v0.29-M1-002	v0.29 handler composition (handle E1 then handle E2)	M	-	crates/paideia-as-types/src/handler_compose.rs	PWP handler chaining	https://github.com/paideia-os/paideia-as/issues/1376
paideia-as	v0.29-compositor-substrate	v0.29	v0.29-M1-003	v0.29 session-type recursion with well-founded induction	M	-	crates/paideia-as-types/src/session_rec.rs	nested subsurface protocols	https://github.com/paideia-os/paideia-as/issues/1377
paideia-as	v0.29-compositor-substrate	v0.29	v0.29-M1-004	v0.29 integration + release notes + CHANGELOG	S	v0.29-M1-001,v0.29-M1-002,v0.29-M1-003	CHANGELOG.md	workspace-version bump v0.29.0	https://github.com/paideia-os/paideia-as/issues/1378
paideia-as	v0.30-vulkan-spirv	v0.30	v0.30-M1-001	v0.30 @spirv_module(path) embeds SPIR-V as KIND_MEMORY symbol	M	-	crates/paideia-as-intrinsic/src/spirv_module.rs	compile-time SPIR-V import	https://github.com/paideia-os/paideia-as/issues/1379
paideia-as	v0.30-vulkan-spirv	v0.30	v0.30-M1-002	v0.30 @wgsl_module(path) for Vello WGSL	M	-	crates/paideia-as-intrinsic/src/wgsl_module.rs	Vello compute-shader import	https://github.com/paideia-os/paideia-as/issues/1380
paideia-as	v0.30-vulkan-spirv	v0.30	v0.30-M1-003	v0.30 f16 intrinsic (fp16 composition)	M	-	crates/paideia-as-intrinsic/src/f16.rs	scRGB-linear needs fp16	https://github.com/paideia-os/paideia-as/issues/1381
